count,date
0,1991-02-01
0,1991-03-01
0,1991-04-01
1,1991-05-01
0,1991-06-01
0,1991-07-01
0,1991-08-01
2,1991-09-01
0,1991-10-01
0,1991-11-01
1,1991-12-01
0,1992-01-01
0,1992-02-01
0,1992-03-01
0,1992-04-01
0,1992-05-01
0,1992-06-01
0,1992-07-01
0,1992-08-01
0,1992-09-01
0,1992-10-01
0,1992-11-01
1,1992-12-01
0,1993-01-01
0,1993-02-01
0,1993-03-01
0,1993-04-01
0,1993-05-01
0,1993-06-01
0,1993-07-01
0,1993-08-01
1,1993-09-01
1,1993-10-01
0,1993-11-01
0,1993-12-01
1,1994-01-01
1,1994-02-01
0,1994-03-01
0,1994-04-01
0,1994-05-01
0,1994-06-01
0,1994-07-01
0,1994-08-01
0,1994-09-01
0,1994-10-01
0,1994-11-01
0,1994-12-01
0,1995-01-01
0,1995-02-01
0,1995-03-01
0,1995-04-01
0,1995-05-01
1,1995-06-01
0,1995-07-01
0,1995-08-01
0,1995-09-01
0,1995-10-01
0,1995-11-01
0,1995-12-01
0,1996-01-01
0,1996-02-01
0,1996-03-01
0,1996-04-01
3,1996-05-01
0,1996-06-01
0,1996-07-01
0,1996-08-01
1,1996-09-01
1,1996-10-01
0,1996-11-01
0,1996-12-01
1,1997-01-01
0,1997-02-01
0,1997-03-01
0,1997-04-01
0,1997-05-01
1,1997-06-01
0,1997-07-01
0,1997-08-01
0,1997-09-01
0,1997-10-01
0,1997-11-01
2,1997-12-01
0,1998-01-01
0,1998-02-01
0,1998-03-01
0,1998-04-01
0,1998-05-01
0,1998-06-01
2,1998-07-01
0,1998-08-01
1,1998-09-01
0,1998-10-01
0,1998-11-01
1,1998-12-01
0,1999-01-01
0,1999-02-01
0,1999-03-01
0,1999-04-01
0,1999-05-01
0,1999-06-01
0,1999-07-01
1,1999-08-01
0,1999-09-01
0,1999-10-01
0,1999-11-01
1,1999-12-01
2,2000-01-01
1,2000-02-01
0,2000-03-01
1,2000-04-01
3,2000-05-01
2,2000-06-01
0,2000-07-01
1,2000-08-01
5,2000-09-01
4,2000-10-01
2,2000-11-01
4,2000-12-01
3,2001-01-01
1,2001-02-01
0,2001-03-01
2,2001-04-01
3,2001-05-01
3,2001-06-01
3,2001-07-01
1,2001-08-01
1,2001-09-01
1,2001-10-01
1,2001-11-01
4,2001-12-01
3,2002-01-01
1,2002-02-01
1,2002-03-01
2,2002-04-01
3,2002-05-01
1,2002-06-01
1,2002-07-01
2,2002-08-01
3,2002-09-01
3,2002-10-01
6,2002-11-01
10,2002-12-01
5,2003-01-01
2,2003-02-01
3,2003-03-01
3,2003-04-01
7,2003-05-01
8,2003-06-01
5,2003-07-01
7,2003-08-01
8,2003-09-01
6,2003-10-01
13,2003-11-01
19,2003-12-01
9,2004-01-01
4,2004-02-01
8,2004-03-01
10,2004-04-01
14,2004-05-01
13,2004-06-01
14,2004-07-01
17,2004-08-01
18,2004-09-01
12,2004-10-01
10,2004-11-01
20,2004-12-01
18,2005-01-01
19,2005-02-01
21,2005-03-01
